"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EUR)",Impressions,Reach,Ends,"Attribution setting"
2026-03-11,2026-04-09,"ISNxChowdeck ad Campaign",inactive,3904,actions:link_click,0.00779201,"Using ad set budget",0,30.42,279002,175691,2026-05-01,"7-day click or 1-day view"
2026-03-11,2026-04-09,"[02/04/2026] Promoting https://store.chowdeck.com/mushin/supermarkets/isn-products-nigeria-limitedmushinpcgle7",inactive,57,actions:omni_landing_page_view,0.05666667,2,Daily,3.23,18642,15631,2026-04-30,"7-day click or 1-day view"
